,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,No_tags
21565,316144,7438,340,458,False,False,24
21566,180402,1254,111,199,False,False,43
21567,502997,2902,681,728,False,False,27
21568,195764,481,253,94,False,False,17
21569,40462,273,13,9,False,False,20
21570,101345,805,64,36,False,False,14
21571,488695,15413,468,328,False,False,15
21572,390551,2950,133,86,False,False,15
21573,2458004,41106,1260,1603,False,False,37
21574,11566387,185752,10223,13703,False,False,22
21575,726825,11734,633,624,False,False,25
21576,143333,607,115,47,False,False,32
21577,149837,189,51,27,False,False,10
21578,25029,414,58,26,False,False,36
21579,1419317,37731,1342,1467,False,False,26
21580,2026827,28553,3710,4246,False,False,34
21581,1385463,9905,2029,2234,False,False,28
21582,1748261,3332,7267,571,False,False,15
21583,513269,3486,384,360,False,False,27
21584,45181,0,0,12,False,True,1
21585,17574,19,3,0,False,False,10
21586,232112,5800,238,1190,False,False,19
21587,75726,542,337,127,False,False,12
21588,237895,432,190,61,False,False,11
21589,96278,214,51,26,False,False,6
21590,49072,1234,86,343,False,False,13
21591,73885,7228,206,795,False,False,10
21592,603460,1053,254,426,False,False,5
21593,230439,9365,435,1106,False,False,20
21594,47365,287,58,19,False,False,13
21595,485027,10729,1018,3293,False,False,24
21596,170320,408,143,105,False,False,8
21597,1654794,11645,3127,4255,False,False,1
21598,351525,1163,1091,212,False,False,12
21599,19716689,975732,9118,127045,False,False,16
21600,1496573,231282,12169,25643,False,False,17
21601,6859742,520289,14600,43779,False,False,22
21602,952722,40216,1108,2758,False,False,14
21603,1693269,4691,1254,1657,False,False,14
21604,717074,103864,2324,7172,False,False,17
21605,2060659,10311,1441,770,False,False,35
21606,1220394,36325,966,1538,False,False,25
21607,731882,34223,2651,2558,False,False,34
21608,3240774,28523,2396,1445,False,False,10
21609,1038530,7452,3964,1564,False,False,40
21610,1733249,40568,1830,2572,False,False,23
21611,1094364,15811,1711,1678,False,False,26
21612,1011306,3745,11245,0,True,False,21
21613,1682255,48373,1530,2598,False,False,27
